TO time,TO value,IC time,IC value
2675.0,-141.89,2590.0,-109.62
3822.0,-123.34,3736.0,-115.57
4950.0,-105.98,4864.0,-120.61
6051.0,-113.19,5956.0,-106.54
7166.0,-141.54,7080.0,-112.21
8289.0,-158.06,8202.0,-122.01
9387.0,-149.94,9301.0,-108.85
10486.0,-159.67,10401.0,-103.67
11601.0,-123.48,11515.0,-118.44
12714.0,-125.37,12629.0,-118.79
13789.0,-137.41,13703.0,-103.67
14874.0,-143.5,14788.0,-108.08
15955.0,-120.61,15868.0,-110.18
17036.0,-141.19,16951.0,-101.57
18121.0,-141.05,18036.0,-108.71
19216.0,-136.5,19131.0,-110.88
20331.0,-122.22,20245.0,-115.22
21431.0,-133.49,21344.0,-109.2
22508.0,-134.26,22422.0,-107.52
23625.0,-103.6,23523.0,-107.59
24717.0,-137.2,24630.0,-110.46
25837.0,-108.99,25751.0,-114.8
26938.0,-151.41,26852.0,-112.7
28034.0,-119.7,27949.0,-108.01
29134.0,-150.85,29048.0,-115.92
30209.0,-147.7,30124.0,-125.16
31305.0,-142.1,31219.0,-101.85
32394.0,-151.97,32308.0,-106.33
33493.0,-123.27,33408.0,-115.22
34587.0,-112.63,34501.0,-103.25
35694.0,-121.17,35608.0,-111.23
36806.0,-142.66,36720.0,-114.87
37898.0,-144.9,37812.0,-107.24
38994.0,-120.19,38909.0,-111.65
40090.0,-124.95,40005.0,-120.82
41175.0,-116.48,41089.0,-109.69
42269.0,-147.21,42183.0,-118.09
43332.0,-103.39,43247.0,-111.58
44427.0,-136.5,44342.0,-115.71
45500.0,-169.47,45415.0,-105.49
46587.0,-128.52,46501.0,-113.12
47682.0,-141.75,47597.0,-123.97
48772.0,-137.41,48686.0,-108.15
49855.0,-108.43,49770.0,-110.11
50968.0,-128.8,50883.0,-101.71
52108.0,-121.24,52022.0,-100.52
