TO time,TO value,IC time,IC value
5600.0,-77.91,4764.0,0.91
6205.0,-83.09,6025.0,3.64
7542.0,-77.77,7370.0,2.38
9579.0,-78.26,8676.0,-36.05
10179.0,-76.02,10014.0,-42.49
11497.0,-75.67,11308.0,-26.67
13493.0,-68.53,12622.0,2.31
14075.0,-80.36,13903.0,-34.09
16081.0,-81.97,15209.0,-41.86
16696.0,-81.69,16525.0,-43.89
18727.0,-83.65,17870.0,-32.48
20033.0,-75.81,19177.0,-46.62
21368.0,-80.57,20457.0,1.61
21966.0,-84.56,21810.0,-40.6
23345.0,-86.66,23182.0,-24.99
24696.0,-82.74,24532.0,-36.19
26054.0,-80.15,25898.0,-35.14
27483.0,-77.84,27304.0,-38.29
29634.0,-63.35,28705.0,-28.28
30267.0,-71.26,30061.0,1.05
31571.0,-72.03,31385.0,2.03
33520.0,-79.1,32683.0,-29.4
34857.0,-74.41,33979.0,-26.18
36129.0,-86.17,35302.0,-43.19
37447.0,-78.68,36575.0,-45.15
38707.0,-75.67,37871.0,-49.49
40016.0,-85.61,39148.0,-40.81
40627.0,-84.07,40463.0,-42.14
42650.0,-80.64,41799.0,-28.14
43946.0,-79.59,43084.0,-45.08
45215.0,-68.6,44372.0,-43.68
45814.0,-90.09,45650.0,-36.33
47100.0,-88.48,46943.0,-48.09
48418.0,-88.69,48253.0,1.4
49726.0,-83.09,49560.0,-41.16
51747.0,-75.74,50841.0,2.45
53018.0,-89.67,52183.0,-45.99
54272.0,-79.87,53453.0,-60.55
54871.0,-86.03,54699.0,-35.0
56203.0,-89.32,56032.0,-30.94
57530.0,-89.95,57367.0,-43.75
58876.0,-84.98,58713.0,-34.09
60221.0,-85.26,60057.0,-49.49
61564.0,-77.42,61377.0,-26.95
63617.0,-69.44,62721.0,-34.79
64917.0,-80.92,64060.0,-40.53
66187.0,-73.01,65361.0,-39.69
67441.0,-83.37,66622.0,-21.07
68774.0,-88.41,67900.0,-32.76
69380.0,-88.2,69217.0,0.84
70703.0,-87.57,70536.0,-36.96
72791.0,-81.76,71871.0,-27.93
73437.0,-80.71,73273.0,-32.9
