TO time,TO value,IC time,IC value
4291.0,-103.67,3592.0,-104.51
4896.0,-120.4,4810.0,-105.42
6165.0,-103.88,6072.0,-113.96
7502.0,-109.62,7409.0,-102.27
9524.0,-103.88,8769.0,-101.22
10132.0,-116.41,10046.0,-108.36
11450.0,-101.36,11348.0,-102.06
12754.0,-122.43,12669.0,-104.02
14043.0,-108.08,13934.0,-103.67
15325.0,-106.61,15240.0,-107.8
16673.0,-105.42,16556.0,-102.76
17986.0,-126.77,17901.0,-105.91
19294.0,-137.97,19208.0,-102.48
20581.0,-103.88,20496.0,-103.04
21935.0,-101.29,21842.0,-111.23
23313.0,-107.52,23228.0,-105.63
24657.0,-103.74,24563.0,-103.39
27343.0,-104.37,25945.0,-104.16
28181.0,-106.75,27444.0,-102.41
30108.0,-102.13,29571.0,-102.55
30216.0,-105.56,30116.0,-110.88
31524.0,-108.43,31424.0,-101.71
32805.0,-107.94,32714.0,-122.22
34102.0,-102.41,34018.0,-103.88
35417.0,-106.96,35333.0,-100.66
36691.0,-127.89,36605.0,-106.19
37979.0,-106.82,37894.0,-104.93
39266.0,-102.9,39172.0,-101.85
40595.0,-103.46,40494.0,-103.81
41924.0,-106.89,41839.0,-107.52
43201.0,-106.26,43107.0,-104.93
44488.0,-123.13,44403.0,-105.35
45767.0,-110.81,45682.0,-101.15
47068.0,-109.34,46975.0,-111.3
48394.0,-107.1,48293.0,-112.63
49687.0,-109.48,49583.0,-101.08
50982.0,-106.61,50881.0,-116.34
52292.0,-103.46,52206.0,-103.88
53561.0,-106.4,53476.0,-112.28
54816.0,-102.69,54730.0,-114.94
56157.0,-102.34,56071.0,-107.1
57491.0,-103.32,57390.0,-106.19
58845.0,-103.46,58752.0,-105.35
60182.0,-104.86,60080.0,-108.15
61501.0,-100.66,61416.0,-116.41
62830.0,-112.0,62745.0,-102.27
64185.0,-123.06,64099.0,-103.18
66117.0,-104.58,65471.0,-108.36
66746.0,-150.36,66661.0,-100.45
68016.0,-119.77,67931.0,-106.4
69357.0,-102.83,69264.0,-101.99
70671.0,-115.57,70560.0,-101.22
