TO time,TO value,IC time,IC value
5126.0,-103.6,4334.0,-37.87
6353.0,-108.71,5578.0,-37.73
7494.0,-120.61,6811.0,-44.31
8529.0,-137.76,7888.0,-71.61
9555.0,-145.95,8922.0,-57.54
10091.0,-135.94,9935.0,1.4
11613.0,-151.34,10988.0,-80.85
12643.0,-143.08,12001.0,-48.09
13539.0,-140.35,12998.0,-73.92
14423.0,-172.55,13888.0,-88.83
14955.0,-78.33,14789.0,-69.51
16249.0,-165.55,15702.0,-99.47
17177.0,-150.64,16613.0,-66.85
18102.0,-165.62,17534.0,-49.28
19007.0,-177.24,18459.0,-84.0
19935.0,-171.43,19363.0,5.46
20833.0,-176.82,20293.0,-51.8
21846.0,-127.75,21197.0,-50.19
22931.0,-126.0,22249.0,-48.02
23977.0,-143.08,23311.0,-40.95
25072.0,-140.63,24390.0,-45.99
26126.0,-139.72,25475.0,-42.91
27171.0,-142.8,26521.0,-56.28
28247.0,-136.43,27566.0,-57.75
29346.0,-131.67,28650.0,-67.06
30431.0,-127.82,29740.0,-54.53
31526.0,-124.18,30841.0,-55.93
32674.0,-105.49,31914.0,0.21
33854.0,-119.56,33108.0,-46.83
35049.0,-125.65,34288.0,-55.79
36283.0,-114.59,35498.0,-44.52
37458.0,-117.81,36703.0,1.82
38686.0,-108.78,37883.0,-36.4
39921.0,-107.17,39114.0,-36.19
41126.0,-108.01,40348.0,-48.23
42434.0,-104.16,41594.0,-29.96
43657.0,-114.03,42869.0,-35.84
44905.0,-96.18,44094.0,-33.32
46131.0,-116.2,45330.0,-36.47
47367.0,-99.19,46559.0,-50.68
48567.0,-118.44,47808.0,-35.84
49817.0,-98.7,49009.0,-52.5
51051.0,-97.51,50244.0,-43.89
,,51462.0,3.99
