TO time,TO value,IC time,IC value
3084.0,-104.3,2541.0,-103.95
3177.0,-125.02,3092.0,-112.07
4450.0,-114.1,4365.0,-109.62
5695.0,-151.41,5609.0,-111.65
6920.0,-103.81,6834.0,-122.22
7981.0,-140.84,7896.0,-114.66
9024.0,-144.27,8938.0,-120.47
10044.0,-112.21,9958.0,-114.24
11082.0,-140.42,10996.0,-111.16
12102.0,-137.13,12017.0,-107.1
13093.0,-170.1,13006.0,-117.67
13983.0,-207.41,13896.0,-128.17
14883.0,-173.46,14796.0,-111.65
15796.0,-189.35,15710.0,-134.68
16708.0,-166.18,16621.0,-104.02
17636.0,-209.51,17550.0,-126.84
18552.0,-170.66,18466.0,-121.52
19472.0,-170.31,19386.0,-101.36
20394.0,-216.16,20308.0,-128.1
21297.0,-218.19,21212.0,-124.81
22359.0,-147.14,22273.0,-113.47
23412.0,-152.32,23327.0,-104.79
24500.0,-149.1,24414.0,-130.62
25576.0,-154.7,25490.0,-106.47
26623.0,-159.6,26538.0,-115.5
27667.0,-152.18,27581.0,-113.12
28744.0,-135.24,28658.0,-102.62
29841.0,-143.43,29756.0,-106.47
30942.0,-142.03,30857.0,-122.08
32032.0,-120.12,31946.0,-102.55
33217.0,-102.97,33132.0,-101.01
34389.0,-131.53,34304.0,-104.86
35607.0,-119.84,35522.0,-107.73
36828.0,-153.3,36742.0,-116.06
38000.0,-130.48,37914.0,-114.38
39246.0,-115.01,39145.0,-108.78
40457.0,-108.92,40372.0,-116.83
41719.0,-120.96,41633.0,-102.06
42987.0,-102.55,42893.0,-104.65
44204.0,-119.21,44118.0,-103.46
45447.0,-113.61,45361.0,-115.15
46669.0,-124.53,46583.0,-112.84
47932.0,-122.99,47847.0,-105.42
49126.0,-111.65,49024.0,-105.35
