TO time,TO value,IC time,IC value
4256.0,-92.33,3724.0,-91.49
5367.0,-74.69,4741.0,-67.55
6359.0,-128.17,5738.0,2.38
7363.0,-70.56,6745.0,-36.33
8351.0,-121.24,7743.0,-52.43
9303.0,-84.98,8732.0,3.92
10356.0,-100.38,9737.0,-55.23
11331.0,-96.74,10724.0,-47.74
12301.0,-162.19,11701.0,-62.3
13302.0,-141.68,12690.0,-40.11
13821.0,-157.71,13681.0,-40.11
15748.0,-165.9,14649.0,-40.11
17244.0,-157.36,15615.0,6.09
20256.0,-125.65,16634.0,-56.56
21786.0,-156.45,17618.0,0.63
23788.0,-156.73,18632.0,-62.09
30423.0,-156.59,19636.0,-52.57
32963.0,-147.91,20634.0,-42.49
34995.0,-145.39,21638.0,-43.61
37025.0,-155.68,22645.0,-41.86
,,23664.0,-67.9
,,24704.0,-63.42
,,25739.0,-38.64
,,26775.0,-46.41
,,27794.0,-51.66
,,28814.0,-62.44
,,29821.0,-69.23
,,30810.0,-37.8
,,31806.0,-44.8
,,32808.0,-51.17
,,33829.0,-45.78
,,34848.0,-55.3
,,35860.0,-44.87
,,36876.0,-29.61
,,37922.0,-40.74
,,38929.0,-28.91
