TO time,TO value,IC time,IC value
3818.0,-192.22,3732.0,-127.05
4834.0,-172.97,4748.0,-122.64
5848.0,-147.7,5762.0,-129.01
6846.0,-146.02,6761.0,-109.9
7844.0,-195.65,7758.0,-140.98
8841.0,-178.64,8755.0,-108.5
9839.0,-179.13,9753.0,-129.71
10826.0,-197.89,10739.0,-119.28
11795.0,-186.06,11709.0,-100.17
12792.0,-199.71,12706.0,-120.47
13782.0,-186.13,13696.0,-132.44
14750.0,-178.36,14664.0,-115.64
15733.0,-188.93,15647.0,-129.99
16727.0,-189.49,16641.0,-107.38
17729.0,-198.94,17642.0,-118.3
18733.0,-184.45,18648.0,-125.79
19738.0,-197.12,19653.0,-130.41
20735.0,-213.92,20649.0,-106.82
21740.0,-187.53,21654.0,-108.08
22753.0,-183.89,22668.0,-129.01
23764.0,-166.67,23679.0,-119.56
24806.0,-190.12,24720.0,-122.15
25848.0,-188.58,25762.0,-126.0
26876.0,-210.21,26791.0,-114.03
27895.0,-200.13,27809.0,-107.59
28915.0,-183.33,28829.0,-125.3
29914.0,-182.56,29829.0,-106.05
30913.0,-192.36,30826.0,-122.5
31902.0,-175.63,31821.0,-109.41
32909.0,-169.05,32824.0,-116.06
33931.0,-199.57,33845.0,-106.82
34949.0,-186.83,34863.0,-127.33
35960.0,-194.25,35875.0,-112.7
36986.0,-170.66,36900.0,-122.01
