TO time,TO value,IC time,IC value
4178.0,-83.37,3436.0,-105.84
5294.0,-90.72,4601.0,-108.99
7530.0,-104.3,5726.0,-116.34
8628.0,-113.19,6842.0,-126.42
13086.0,-106.33,7965.0,-138.74
15283.0,-123.41,9064.0,-136.15
16396.0,-125.37,10188.0,-130.13
27538.0,-110.32,11296.0,-128.38
28662.0,-98.0,12421.0,-135.03
35322.0,-105.07,13519.0,-126.84
44161.0,-118.79,14614.0,-126.84
46394.0,-127.4,15724.0,-132.51
,,16836.0,-140.56
,,17938.0,-135.8
,,19034.0,-134.4
,,20142.0,-139.93
,,21239.0,-129.5
,,22347.0,-145.25
,,23460.0,-141.75
,,24568.0,-136.36
,,25688.0,-122.5
,,26849.0,-131.67
,,27988.0,-131.04
,,29112.0,-132.51
,,30256.0,-137.41
,,31381.0,-134.96
,,32479.0,-121.73
,,33578.0,-130.76
,,34657.0,-141.26
,,35756.0,-141.12
,,36853.0,-145.67
,,37960.0,-142.66
,,39060.0,-134.61
,,40187.0,-142.03
,,41295.0,-146.09
,,42408.0,-146.72
,,43506.0,-132.37
,,44611.0,-130.27
,,45732.0,-136.36
,,46866.0,-144.55
,,48121.0,-136.08
