TO time,TO value,IC time,IC value
3522.0,-116.06,3436.0,-105.84
4687.0,-141.75,4601.0,-108.99
5811.0,-144.9,5726.0,-116.34
6926.0,-110.25,6834.0,-104.37
8042.0,-144.48,7958.0,-120.26
9141.0,-113.54,9056.0,-117.39
10265.0,-139.37,10180.0,-111.93
11373.0,-154.28,11288.0,-111.37
12495.0,-164.64,12405.0,-101.92
13597.0,-153.09,13511.0,-112.28
14692.0,-146.09,14606.0,-109.41
15802.0,-152.6,15717.0,-109.97
16914.0,-154.14,16829.0,-121.03
18016.0,-149.87,17930.0,-118.86
19111.0,-155.96,19026.0,-116.06
20212.0,-153.86,20126.0,-102.2
21317.0,-137.69,21231.0,-105.35
22417.0,-136.64,22331.0,-106.47
23530.0,-111.72,23444.0,-106.47
24638.0,-141.75,24553.0,-109.97
25766.0,-128.8,25680.0,-106.96
26928.0,-145.81,26841.0,-111.86
28066.0,-148.47,27980.0,-112.7
29182.0,-156.8,29097.0,-100.66
30326.0,-128.73,30240.0,-103.46
31460.0,-148.05,31374.0,-117.04
32556.0,-140.56,32471.0,-110.74
33648.0,-168.98,33562.0,-102.69
34735.0,-100.87,34649.0,-113.96
35833.0,-134.12,35748.0,-118.72
36924.0,-151.13,36838.0,-108.01
38032.0,-157.01,37944.0,-110.32
39138.0,-131.88,39053.0,-115.01
40257.0,-156.24,40172.0,-104.79
41365.0,-165.06,41280.0,-105.91
42478.0,-137.2,42392.0,-108.85
43583.0,-157.5,43498.0,-116.76
44689.0,-161.91,44603.0,-113.26
45802.0,-151.06,45716.0,-103.74
,,46851.0,-102.83
