TO time,TO value,IC time,IC value
5865.0,-64.68,4762.0,-7.63
7482.0,-62.93,6387.0,-8.33
9064.0,-59.22,7971.0,2.1
10502.0,-64.33,9506.0,4.83
14785.0,-70.42,10982.0,-17.08
17555.0,-70.28,12419.0,-23.66
20405.0,-60.06,13809.0,-16.94
21772.0,-54.67,15249.0,-24.15
23098.0,-50.05,16628.0,-24.71
24400.0,-67.27,18052.0,-24.64
27028.0,-79.73,19502.0,-25.2
28287.0,-75.11,20877.0,-24.71
29657.0,-82.39,22229.0,-34.02
31063.0,-76.37,23550.0,-17.99
32371.0,-79.66,24837.0,-33.25
33701.0,-63.28,26186.0,-26.18
35009.0,-68.95,27492.0,-28.84
36918.0,-83.65,28814.0,-32.13
38883.0,-74.69,30164.0,4.27
40160.0,-76.02,31528.0,-42.98
42756.0,-81.76,32827.0,-33.04
44083.0,-70.91,34142.0,-23.87
45363.0,-74.55,35434.0,3.57
47961.0,-48.65,36747.0,5.6
49246.0,-53.48,38048.0,-31.64
50555.0,-73.85,39311.0,3.22
51860.0,-77.56,40606.0,-24.99
53154.0,-76.51,41883.0,-16.73
54401.0,-75.88,43213.0,-18.27
58149.0,-83.09,44515.0,-31.15
60653.0,-87.64,45789.0,4.69
61916.0,-87.5,47075.0,0.14
63222.0,-67.48,48373.0,1.96
64527.0,-43.96,49688.0,-33.11
67057.0,-56.21,50998.0,-22.89
68341.0,-65.1,52301.0,-26.46
68944.0,-90.51,53591.0,-24.5
71009.0,-84.21,54804.0,3.92
,,56058.0,-26.32
,,57325.0,-29.89
,,58587.0,-29.33
,,59859.0,-25.62
,,61079.0,-34.58
,,62373.0,-22.75
,,63665.0,-23.73
,,64953.0,-37.87
,,66242.0,-27.65
,,67493.0,-21.42
,,68766.0,1.82
,,70120.0,-39.97
,,71474.0,0.07
,,72869.0,-6.3
