TO time,TO value,IC time,IC value
22353.0,-100.24,22267.0,-106.26
27601.0,-106.89,24953.0,-100.73
32874.0,-104.72,27608.0,-113.89
34188.0,-108.43,32882.0,-102.06
34282.0,-106.12,34196.0,-117.95
39444.0,-112.56,35559.0,-103.46
40113.0,-100.59,39451.0,-119.77
44044.0,-102.06,43259.0,-101.22
47207.0,-100.66,44631.0,-104.09
48435.0,-105.14,47215.0,-100.66
49192.0,-103.18,48443.0,-103.46
51052.0,-102.2,49811.0,-103.53
51145.0,-111.02,51060.0,-103.74
53622.0,-105.84,52340.0,-100.45
53714.0,-102.62,53629.0,-100.73
56173.0,-104.65,54927.0,-106.61
57433.0,-106.75,56181.0,-105.14
58633.0,-103.11,57441.0,-110.32
59898.0,-108.71,58695.0,-102.13
60600.0,-102.13,59905.0,-117.25
61203.0,-116.83,61117.0,-101.29
64999.0,-100.52,63720.0,-100.03
66288.0,-100.03,65054.0,-108.64
68820.0,-107.17,66334.0,-107.31
,,68921.0,-104.09
