TO time,TO value,IC time,IC value
3874.0,-10.71,3001.0,-22.05
5243.0,-9.31,4331.0,-28.77
6513.0,-30.31,5655.0,-35.56
7785.0,-45.57,6931.0,-35.35
9014.0,-61.74,8195.0,-21.28
10039.0,-54.67,9384.0,-56.42
11068.0,-64.47,10419.0,-48.37
12108.0,-82.25,11424.0,4.2
13167.0,-83.79,12472.0,0.14
14243.0,-72.94,13548.0,-33.81
15325.0,-84.35,14624.0,-29.4
16400.0,-83.72,15711.0,-41.86
17463.0,-77.84,16776.0,-31.57
18439.0,-80.57,17842.0,-53.27
19579.0,-32.34,18891.0,-58.94
20654.0,-17.64,19950.0,-47.95
21735.0,7.21,21024.0,-29.12
22653.0,-54.25,22052.0,-63.91
23565.0,-77.63,22986.0,-43.05
24479.0,-129.43,23908.0,-55.3
25431.0,-132.44,24842.0,-57.96
26398.0,-115.29,25788.0,7.98
27359.0,-136.57,26763.0,-52.43
28335.0,-134.12,27723.0,-37.31
29327.0,-116.34,28707.0,-51.87
30296.0,-106.26,29683.0,6.16
31799.0,-133.21,30661.0,-39.76
32897.0,-125.44,31665.0,-19.46
33937.0,-116.41,32741.0,-51.87
35028.0,-125.09,33829.0,-61.88
36678.0,-88.27,34895.0,-43.26
37787.0,-95.69,35978.0,-50.47
39459.0,-90.51,37073.0,-50.33
42502.0,-85.26,38159.0,1.96
43707.0,-76.58,39272.0,-22.19
44935.0,-66.78,40463.0,-28.63
45541.0,-72.87,41707.0,-45.22
46759.0,-93.1,42910.0,-22.96
,,44124.0,-40.6
,,45346.0,-24.64
,,46603.0,-35.91
,,47796.0,-31.36
