TO time,TO value,IC time,IC value
5686.0,-107.03,4377.0,-103.95
5780.0,-109.13,5694.0,-104.86
7700.0,-105.49,6970.0,-105.0
8320.0,-118.44,8234.0,-108.78
9485.0,-147.42,9400.0,-111.93
10520.0,-164.43,10434.0,-114.1
11541.0,-176.47,11455.0,-116.34
12589.0,-158.97,12503.0,-110.04
13657.0,-136.5,13571.0,-110.53
14732.0,-144.55,14646.0,-104.58
15820.0,-159.32,15734.0,-120.54
16885.0,-162.12,16799.0,-112.07
17944.0,-159.11,17857.0,-108.64
18992.0,-152.81,18906.0,-112.77
20060.0,-169.05,19973.0,-123.27
21132.0,-168.56,21047.0,-119.49
22145.0,-197.68,22059.0,-118.23
23087.0,-180.32,23002.0,-120.61
24001.0,-179.48,23915.0,-107.59
24943.0,-176.05,24858.0,-119.84
25905.0,-169.05,25820.0,-129.29
26872.0,-174.44,26787.0,-131.18
27825.0,-199.29,27739.0,-116.55
28808.0,-177.17,28722.0,-120.05
29792.0,-216.02,29706.0,-122.85
30762.0,-174.37,30676.0,-111.16
31775.0,-173.6,31689.0,-108.71
32843.0,-192.5,32757.0,-102.27
33929.0,-138.25,33844.0,-116.27
35005.0,-163.24,34919.0,-120.05
36078.0,-162.75,35993.0,-103.95
37182.0,-163.59,37096.0,-116.2
38284.0,-169.89,38198.0,-118.37
39397.0,-147.98,39311.0,-101.36
40580.0,-126.21,40494.0,-103.39
41816.0,-145.25,41730.0,-101.15
43036.0,-132.16,42949.0,-110.46
44233.0,-122.71,44147.0,-103.25
,,45385.0,-102.76
