TO time,TO value,IC time,IC value
3791.0,-200.55,3332.0,-272.16
4580.0,-223.37,4134.0,-270.83
5373.0,-219.66,4926.0,-276.43
6169.0,-219.59,5720.0,-300.58
6972.0,-233.66,6516.0,-241.01
7802.0,-177.45,7329.0,-252.98
8621.0,-206.29,8148.0,-250.25
9425.0,-208.6,8969.0,-249.13
10227.0,-222.18,9769.0,-232.05
11034.0,-177.73,10568.0,-224.0
11841.0,-227.85,11376.0,-240.24
12658.0,-210.91,12190.0,-241.36
13487.0,-225.12,13014.0,-250.67
14327.0,-211.82,13851.0,-214.13
15150.0,-191.73,14685.0,-254.59
15960.0,-196.21,15495.0,-227.99
16773.0,-189.21,16299.0,-239.47
17581.0,-231.49,17124.0,-231.56
18401.0,-189.63,17929.0,-244.65
19225.0,-200.76,18752.0,-245.49
20063.0,-220.64,19582.0,-213.64
20931.0,-207.97,20442.0,-243.88
21779.0,-193.2,21296.0,-220.64
22631.0,-181.37,22143.0,-228.27
23480.0,-195.93,22994.0,-249.41
24341.0,-165.97,23836.0,-204.12
25187.0,-207.97,24698.0,-231.21
26009.0,-219.1,25535.0,-212.38
26835.0,-213.57,26352.0,-229.53
27657.0,-225.82,27183.0,-226.24
28494.0,-197.47,28013.0,-243.04
29326.0,-210.84,28851.0,-226.94
30156.0,-201.6,29683.0,-265.02
30987.0,-211.47,30515.0,-226.1
31838.0,-183.54,31342.0,-210.77
32698.0,-203.7,32194.0,-217.77
,,33109.0,-210.77
