TO time,TO value,IC time,IC value
1805.0,-132.44,1719.0,-152.6
2624.0,-188.51,2538.0,-154.35
3402.0,-167.93,3316.0,-152.81
4205.0,-188.23,4118.0,-153.72
4997.0,-156.17,4910.0,-138.88
5791.0,-141.89,5704.0,-141.82
6595.0,-156.03,6508.0,-162.26
7400.0,-190.96,7313.0,-152.53
8220.0,-190.33,8132.0,-148.19
9039.0,-196.77,8953.0,-139.79
9840.0,-192.01,9753.0,-133.49
10647.0,-175.98,10559.0,-164.22
11447.0,-213.71,11360.0,-133.56
12261.0,-186.06,12174.0,-151.48
13085.0,-185.5,12998.0,-158.41
13930.0,-201.32,13843.0,-145.39
14756.0,-183.12,14669.0,-140.98
15567.0,-187.81,15479.0,-146.16
16371.0,-203.77,16284.0,-125.09
17195.0,-218.47,17108.0,-136.57
18000.0,-212.8,17913.0,-120.82
18816.0,-219.66,18728.0,-111.58
19653.0,-209.51,19566.0,-129.64
20514.0,-181.93,20427.0,-128.8
21368.0,-206.29,21280.0,-132.58
22214.0,-199.57,22127.0,-121.8
23065.0,-189.21,22978.0,-143.15
23916.0,-197.47,23829.0,-154.42
24769.0,-216.65,24682.0,-127.82
25615.0,-182.35,25527.0,-156.17
26423.0,-234.01,26336.0,-104.37
27254.0,-195.72,27167.0,-120.68
28085.0,-187.46,27997.0,-136.85
28922.0,-215.46,28835.0,-125.72
29746.0,-220.36,29659.0,-104.02
30586.0,-213.15,30498.0,-126.77
31421.0,-207.69,31334.0,-155.75
32265.0,-216.58,32178.0,-121.59
