TO time,TO value,IC time,IC value
,,3310.0,22.33
,,4316.0,12.32
,,5327.0,10.57
,,6315.0,2.59
,,7326.0,6.3
,,8351.0,17.43
,,9372.0,14.21
,,10385.0,9.87
,,11418.0,21.77
,,12429.0,3.71
,,13441.0,22.68
,,14478.0,16.87
,,15494.0,5.46
,,16530.0,10.5
,,17557.0,6.37
,,18570.0,9.66
,,19591.0,18.76
,,20608.0,11.2
,,21634.0,18.9
,,22657.0,-11.34
,,23681.0,-17.36
,,24685.0,2.24
,,25706.0,15.4
,,26725.0,15.75
,,27751.0,10.92
,,28770.0,3.15
,,29797.0,17.22
,,30810.0,18.13
,,31829.0,18.06
,,32867.0,18.48
,,33860.0,22.05
,,34878.0,21.21
,,35906.0,28.77
,,36921.0,11.9
,,37968.0,10.29
,,38994.0,-9.87
,,40021.0,15.47
,,41042.0,15.47
,,42066.0,23.03
,,43069.0,19.04
,,44095.0,28.98
,,45139.0,7.0
,,46187.0,10.64
,,47238.0,7.63
,,48271.0,5.11
,,49346.0,13.16
