TO time,TO value,IC time,IC value
2743.0,-146.37,2656.0,-104.51
3761.0,-138.04,3674.0,-108.08
4750.0,-125.3,4663.0,-112.0
5746.0,-157.08,5659.0,-100.52
6749.0,-135.66,6663.0,-120.33
7775.0,-130.34,7688.0,-125.72
8794.0,-130.13,8707.0,-145.04
9808.0,-134.89,9721.0,-108.08
10828.0,-120.96,10741.0,-119.84
11860.0,-153.09,11774.0,-111.02
12871.0,-141.12,12785.0,-125.3
13893.0,-142.66,13805.0,-104.16
14917.0,-143.71,14830.0,-103.67
15937.0,-122.43,15850.0,-145.39
16973.0,-133.07,16886.0,-103.81
18001.0,-129.22,17914.0,-117.6
19014.0,-135.52,18927.0,-120.54
20042.0,-140.98,19956.0,-133.07
21057.0,-131.11,20970.0,-122.71
22062.0,-146.79,21975.0,-104.65
23094.0,-137.2,23007.0,-127.05
24108.0,-136.85,24021.0,-122.71
25119.0,-139.93,25032.0,-103.18
26148.0,-141.19,26061.0,-144.27
27168.0,-123.27,27081.0,-114.94
28194.0,-128.94,28107.0,-115.78
29214.0,-129.36,29128.0,-105.63
30232.0,-126.56,30144.0,-116.34
31260.0,-139.3,31174.0,-112.56
32275.0,-132.02,32193.0,-136.5
33301.0,-134.26,33215.0,-133.0
34309.0,-128.66,34222.0,-139.3
35329.0,-135.17,35241.0,-108.08
36359.0,-142.17,36272.0,-111.44
37375.0,-127.12,37288.0,-121.87
38407.0,-130.41,38321.0,-137.97
39424.0,-129.64,39338.0,-105.77
40473.0,-128.66,40387.0,-111.58
41488.0,-112.21,41402.0,-126.77
42504.0,-134.33,42418.0,-133.21
43510.0,-132.37,43424.0,-123.2
44554.0,-143.15,44467.0,-111.37
45595.0,-123.76,45507.0,-135.8
46646.0,-129.43,46559.0,-138.6
47680.0,-131.95,47593.0,-137.48
48730.0,-116.55,48643.0,-116.97
