TO time,TO value,IC time,IC value
,,3312.0,-32.06
,,4371.0,-27.09
,,5428.0,2.45
,,6494.0,-20.44
,,7552.0,-23.94
,,8582.0,8.82
,,9607.0,7.84
,,10648.0,16.03
,,11697.0,19.04
,,12760.0,19.81
,,13807.0,12.11
,,14840.0,11.83
,,15901.0,9.52
,,16940.0,14.77
,,17933.0,21.49
,,18969.0,24.57
,,20001.0,21.84
,,21040.0,17.78
,,22069.0,30.52
,,23080.0,19.32
,,24087.0,26.53
,,25152.0,10.08
,,26178.0,17.85
,,27214.0,5.46
,,28253.0,14.91
,,29291.0,24.08
,,30327.0,18.41
,,31373.0,22.61
,,32376.0,15.89
,,33424.0,27.09
,,34470.0,26.81
,,35503.0,28.91
,,36520.0,28.21
,,37554.0,25.9
,,38590.0,23.87
,,39633.0,15.19
,,40643.0,17.01
,,41661.0,2.94
,,42659.0,16.38
,,43668.0,16.59
,,44078.0,12.6
,,44662.0,24.71
,,45671.0,25.41
,,46658.0,21.7
,,47671.0,13.44
,,48698.0,21.28
,,49704.0,18.13
,,50755.0,-20.93
,,51782.0,3.78
,,52838.0,5.67
,,53918.0,8.61
