TO time,TO value,IC time,IC value
11299.0,-174.79,11213.0,-151.76
12410.0,-182.56,12323.0,-152.6
13462.0,-154.35,12877.0,-151.2
14688.0,-180.74,14601.0,-150.57
16884.0,-153.37,16337.0,-158.34
17982.0,-176.19,17453.0,-152.11
19066.0,-157.71,18535.0,-151.83
20167.0,-152.74,19621.0,-157.92
21266.0,-154.21,20744.0,-156.03
22457.0,-201.95,22375.0,-151.34
23448.0,-155.19,22918.0,-163.17
24550.0,-158.2,24019.0,-154.42
25642.0,-156.8,25097.0,-162.05
26731.0,-150.22,26194.0,-154.98
27840.0,-154.84,27284.0,-171.01
28959.0,-150.01,28396.0,-152.25
30056.0,-154.0,29520.0,-150.5
31161.0,-156.73,30600.0,-159.53
32264.0,-153.37,31691.0,-160.86
33342.0,-156.8,32819.0,-155.61
34417.0,-150.99,33886.0,-163.66
35514.0,-154.07,34970.0,-161.77
36536.0,-155.19,36036.0,-151.97
37640.0,-156.31,37093.0,-151.55
38702.0,-153.16,38189.0,-160.44
39772.0,-159.67,39257.0,-170.17
40834.0,-161.98,40303.0,-151.34
41919.0,-156.1,41373.0,-157.08
43008.0,-157.15,42467.0,-158.2
44111.0,-154.77,43552.0,-168.84
45194.0,-155.33,44667.0,-157.92
46284.0,-151.76,45731.0,-154.14
47400.0,-152.74,46846.0,-153.72
48599.0,-200.48,48512.0,-157.92
49631.0,-152.88,49083.0,-152.46
50740.0,-152.39,50208.0,-159.32
51861.0,-155.61,51309.0,-160.51
52983.0,-152.6,52422.0,-150.99
54104.0,-150.15,53553.0,-158.27
55227.0,-155.05,54659.0,-151.9
56302.0,-152.32,55775.0,-158.13
57413.0,-154.42,56856.0,-152.11
58572.0,-158.48,58002.0,-155.33
59759.0,-214.06,59673.0,-152.04
60799.0,-150.71,60244.0,-154.84
61902.0,-156.03,61361.0,-155.61
63003.0,-150.78,62469.0,-151.41
64227.0,-190.12,64140.0,-154.77
65359.0,-196.07,65271.0,-150.36
