TO time,TO value,IC time,IC value
4621.0,-119.49,3945.0,-116.48
5800.0,-102.06,5080.0,-100.59
6913.0,-126.14,6233.0,-102.83
8014.0,-134.19,7334.0,-117.53
9138.0,-116.76,8449.0,-126.7
10295.0,-111.02,9583.0,-114.66
11409.0,-120.33,10721.0,-123.69
12507.0,-134.26,11819.0,-117.46
13629.0,-112.28,12943.0,-113.4
14610.0,-107.03,14011.0,-127.26
15581.0,-117.32,14981.0,-133.56
16588.0,-120.82,15969.0,-152.04
17567.0,-156.38,16982.0,-162.47
18562.0,-122.43,17956.0,-146.02
19536.0,-121.73,18945.0,-155.47
20484.0,-154.56,19914.0,-188.37
21443.0,-141.61,20867.0,-177.1
22401.0,-130.27,21817.0,-166.46
23229.0,-96.81,22732.0,-190.12
24009.0,-137.9,23549.0,-211.75
24773.0,-140.0,24323.0,-234.36
25553.0,-186.55,25105.0,-232.61
26347.0,-189.0,25882.0,-204.47
27152.0,-205.17,26688.0,-213.99
27967.0,-186.76,27494.0,-202.51
28782.0,-138.53,28309.0,-203.28
29578.0,-173.32,29112.0,-227.22
30372.0,-181.02,29912.0,-210.84
31177.0,-173.53,30705.0,-183.47
32131.0,-185.43,31577.0,-195.09
33081.0,-170.38,32506.0,-164.29
34045.0,-150.64,33460.0,-167.65
34997.0,-146.44,34418.0,-158.69
35955.0,-159.95,35386.0,-165.48
36910.0,-139.58,36335.0,-170.03
37889.0,-139.58,37298.0,-156.03
38973.0,-146.79,38323.0,-147.56
40096.0,-145.32,39424.0,-138.32
41219.0,-131.39,40523.0,-111.93
42333.0,-117.95,41639.0,-111.58
43476.0,-118.3,42760.0,-115.99
44623.0,-137.06,43910.0,-109.55
,,45099.0,-112.35
