TO time,TO value,IC time,IC value
1787.0,-102.55,1684.0,-103.25
2907.0,-108.92,2820.0,-118.65
4025.0,-117.39,3937.0,-101.5
5167.0,-108.43,5080.0,-100.59
6320.0,-116.97,6233.0,-102.83
7421.0,-114.52,7334.0,-117.53
8536.0,-102.76,8449.0,-126.7
9670.0,-102.34,9583.0,-114.66
10808.0,-113.19,10721.0,-123.69
11907.0,-105.63,11819.0,-117.46
13029.0,-102.41,12943.0,-113.4
14098.0,-136.15,14011.0,-127.26
15068.0,-153.72,14981.0,-133.56
16048.0,-158.27,15961.0,-114.52
17061.0,-156.94,16974.0,-125.02
18035.0,-173.32,17948.0,-102.34
19024.0,-178.01,18937.0,-103.53
19992.0,-174.23,19906.0,-133.07
20945.0,-168.63,20859.0,-133.56
21895.0,-189.14,21810.0,-127.75
22808.0,-179.62,22724.0,-108.99
23619.0,-230.37,23533.0,-100.1
24402.0,-169.89,24315.0,-170.73
25176.0,-188.09,25090.0,-129.08
25961.0,-196.98,25874.0,-153.16
26766.0,-191.94,26680.0,-145.53
27573.0,-192.01,27485.0,-134.82
28381.0,-200.48,28293.0,-105.07
29192.0,-173.11,29104.0,-180.74
29983.0,-207.27,29896.0,-126.63
30784.0,-202.37,30697.0,-115.5
31641.0,-160.44,31554.0,-114.52
32584.0,-172.13,32498.0,-124.18
33538.0,-149.24,33452.0,-123.34
34497.0,-166.46,34410.0,-112.63
35465.0,-162.33,35378.0,-126.0
36414.0,-157.71,36327.0,-127.47
37377.0,-159.53,37290.0,-116.13
38393.0,-136.36,38307.0,-102.97
39495.0,-112.07,39408.0,-114.52
40610.0,-107.59,40523.0,-111.93
41722.0,-121.38,41639.0,-111.58
42855.0,-102.97,42760.0,-115.99
43997.0,-116.34,43910.0,-109.55
