TO time,TO value,IC time,IC value
,,4461.0,-30.66
,,5406.0,1.47
,,6355.0,10.29
,,7330.0,-5.95
,,8281.0,19.18
,,9227.0,1.61
,,10221.0,5.04
,,11201.0,17.78
,,12195.0,16.52
,,13182.0,6.72
,,14153.0,15.82
,,15135.0,15.96
,,16100.0,3.22
,,17074.0,19.67
,,18039.0,4.2
,,19059.0,9.59
,,20034.0,1.61
,,21018.0,7.14
,,22011.0,6.72
,,22983.0,6.86
,,23990.0,10.78
,,24958.0,2.45
,,26012.0,-28.49
,,26978.0,-33.6
,,27902.0,15.75
,,28892.0,17.43
,,29908.0,12.74
,,30891.0,11.9
,,31888.0,7.21
,,32910.0,-29.4
,,33889.0,-21.42
,,34870.0,13.72
,,35827.0,20.86
,,36848.0,-20.72
,,37773.0,21.63
,,38752.0,3.85
,,39767.0,10.57
,,40741.0,12.81
,,41714.0,20.23
,,42664.0,14.7
,,43696.0,-30.17
,,44659.0,5.32
,,45593.0,17.71
