TO time,TO value,IC time,IC value
2939.0,-108.43,2830.0,-112.77
3925.0,-103.6,3831.0,-113.96
4878.0,-115.64,4776.0,-109.97
5856.0,-112.35,5737.0,-114.03
6813.0,-106.75,6711.0,-121.38
7770.0,-102.06,7676.0,-115.99
8734.0,-122.99,8640.0,-109.55
9696.0,-100.94,9586.0,-113.05
10674.0,-101.01,10572.0,-100.87
11654.0,-120.89,11552.0,-111.51
12626.0,-103.46,12524.0,-101.99
13608.0,-104.3,13505.0,-113.54
14580.0,-109.69,14477.0,-107.87
15546.0,-109.41,15459.0,-120.82
16526.0,-115.64,16424.0,-118.16
17492.0,-100.66,17406.0,-114.38
18490.0,-102.34,18403.0,-111.79
19478.0,-112.28,19384.0,-110.74
20454.0,-117.81,20359.0,-115.15
21435.0,-111.72,21348.0,-104.51
22438.0,-113.19,22335.0,-111.44
23433.0,-108.29,23347.0,-103.88
24417.0,-106.82,24323.0,-105.7
25425.0,-110.88,25322.0,-102.83
26415.0,-123.06,26321.0,-113.96
27379.0,-108.71,27293.0,-108.22
28361.0,-107.73,28273.0,-117.46
29344.0,-103.46,29255.0,-117.67
30319.0,-102.48,30232.0,-112.84
31333.0,-113.05,31230.0,-108.92
32323.0,-108.99,32212.0,-103.88
33306.0,-103.6,33219.0,-105.77
34307.0,-115.92,34212.0,-109.55
35289.0,-102.27,35187.0,-100.73
36269.0,-112.49,36174.0,-111.86
37250.0,-106.54,37156.0,-109.55
38226.0,-104.37,38131.0,-102.76
39203.0,-100.24,39108.0,-111.23
40176.0,-104.58,40081.0,-110.88
41158.0,-108.57,41056.0,-108.99
42125.0,-101.85,42039.0,-103.95
43124.0,-118.65,43013.0,-107.38
44090.0,-101.43,43995.0,-112.21
