TO time,TO value,IC time,IC value
4543.0,-132.51,3841.0,-53.62
5728.0,-134.47,5014.0,-61.39
6869.0,-134.4,6166.0,-55.72
8013.0,-137.2,7315.0,-65.24
9155.0,-132.09,8476.0,-65.24
10286.0,-130.13,9605.0,-66.5
11412.0,-132.44,10731.0,-62.23
12539.0,-131.67,11848.0,-70.21
13640.0,-133.77,12967.0,-63.42
14764.0,-134.54,14074.0,-62.3
15926.0,-120.96,15223.0,-71.96
17045.0,-134.89,16345.0,-60.13
18137.0,-140.98,17472.0,-77.07
19243.0,-139.51,18582.0,-74.34
20338.0,-142.38,19672.0,-71.12
21435.0,-136.64,20767.0,-68.95
22553.0,-136.92,21863.0,-65.38
23688.0,-131.74,22989.0,-63.84
24822.0,-127.26,24116.0,-63.07
25944.0,-135.73,25274.0,-70.91
27070.0,-128.87,26380.0,-61.46
28180.0,-126.49,27491.0,-67.34
29298.0,-136.99,28608.0,-67.55
30473.0,-140.7,29750.0,-64.75
31586.0,-135.73,30912.0,-67.62
32694.0,-137.97,32028.0,-64.82
33789.0,-141.75,33131.0,-68.18
34902.0,-141.96,34236.0,-63.28
36033.0,-133.42,35339.0,-64.75
37190.0,-139.23,36476.0,-73.71
38271.0,-138.25,37619.0,-71.26
39385.0,-131.25,38716.0,-72.94
40507.0,-131.53,39832.0,-83.58
41624.0,-132.09,40943.0,-70.63
42741.0,-128.24,42059.0,-68.18
43869.0,-125.93,43171.0,-68.32
45002.0,-130.55,44314.0,-69.51
46164.0,-139.44,45466.0,-73.01
47312.0,-134.47,46607.0,-72.52
48444.0,-131.88,47756.0,-66.57
49537.0,-127.33,48864.0,-68.81
50636.0,-134.4,49955.0,-65.1
51746.0,-124.81,51063.0,-75.32
52895.0,-134.61,52205.0,-61.95
54042.0,-132.3,53330.0,-67.48
55137.0,-143.64,54460.0,-67.76
56261.0,-138.11,55587.0,-78.05
57443.0,-132.79,56698.0,-64.19
,,57911.0,-74.06
