TO time,TO value,IC time,IC value
3383.0,-131.88,3295.0,-101.15
4535.0,-140.84,4449.0,-105.91
5720.0,-141.82,5634.0,-102.34
6861.0,-144.34,6776.0,-105.91
8013.0,-137.2,7927.0,-103.81
9069.0,-101.15,8593.0,-101.92
10270.0,-150.57,10184.0,-104.16
11317.0,-101.5,10755.0,-101.43
12523.0,-147.77,12436.0,-101.5
13632.0,-142.03,13546.0,-105.98
14764.0,-134.54,14677.0,-100.94
15349.0,-101.15,15247.0,-102.9
16942.0,-104.51,16463.0,-104.16
18129.0,-149.38,18043.0,-102.76
19148.0,-100.1,18708.0,-101.22
19791.0,-101.01,19688.0,-100.73
21349.0,-105.42,20840.0,-102.27
22458.0,-102.76,21886.0,-102.97
23578.0,-101.99,23130.0,-102.83
24822.0,-127.26,24735.0,-100.66
25848.0,-103.46,25400.0,-102.9
27054.0,-151.97,26968.0,-105.56
28086.0,-105.0,27626.0,-101.85
29298.0,-136.99,29212.0,-100.59
29884.0,-100.38,29782.0,-101.15
31483.0,-102.41,31054.0,-100.38
32694.0,-137.97,32608.0,-105.21
33686.0,-100.31,33257.0,-102.41
34902.0,-141.96,34816.0,-100.66
35457.0,-103.46,35355.0,-100.73
37174.0,-154.07,37088.0,-102.34
38192.0,-105.0,37737.0,-104.09
38843.0,-107.73,38740.0,-106.4
39950.0,-104.02,39848.0,-101.43
41616.0,-140.0,41529.0,-107.59
42741.0,-128.24,42654.0,-104.09
43853.0,-147.14,43767.0,-101.36
44923.0,-103.95,44447.0,-104.16
46069.0,-100.1,45599.0,-103.6
47217.0,-105.0,46740.0,-104.72
48342.0,-105.0,47890.0,-100.17
49450.0,-104.79,48989.0,-100.52
50073.0,-104.93,49979.0,-103.88
51738.0,-137.06,51652.0,-101.43
52792.0,-101.99,52267.0,-104.72
53456.0,-107.1,53354.0,-101.85
54593.0,-107.52,54484.0,-106.05
56168.0,-101.15,55695.0,-100.31
