TO time,TO value,IC time,IC value
5530.0,-97.23,4632.0,-50.89
6951.0,-89.25,6077.0,-52.64
10015.0,-83.51,7619.0,-56.63
11461.0,-84.91,9114.0,-59.71
12987.0,-80.22,10515.0,-59.08
14545.0,-78.89,11983.0,-56.21
16061.0,-79.59,13636.0,-55.65
17610.0,-77.77,15084.0,-56.84
19233.0,-78.82,16625.0,-57.4
20816.0,-77.21,18284.0,-55.02
22467.0,-76.79,19843.0,-54.95
23904.0,-70.14,21487.0,-53.76
25480.0,-75.39,23020.0,-57.47
26948.0,-79.87,24460.0,-55.58
28399.0,-92.68,25997.0,-55.58
29899.0,-91.07,27487.0,-60.97
32921.0,-85.82,29040.0,-56.14
34435.0,-79.59,30540.0,-56.98
35927.0,-76.79,31941.0,-56.0
37493.0,-80.36,33529.0,-56.84
39053.0,-79.94,35029.0,-58.31
40495.0,-83.16,36613.0,-63.77
43527.0,-81.13,38241.0,-59.22
45005.0,-78.33,39576.0,-55.86
46437.0,-78.89,41075.0,-55.65
48014.0,-79.52,42607.0,-52.43
49511.0,-82.81,44177.0,-56.28
51020.0,-81.62,45528.0,-53.83
52569.0,-82.18,47010.0,-55.3
54144.0,-81.76,48559.0,-57.89
55573.0,-78.26,50057.0,-55.65
57049.0,-80.36,51700.0,-58.66
58524.0,-84.0,53154.0,-56.84
60067.0,-79.94,54738.0,-57.61
61535.0,-80.57,56095.0,-61.46
63050.0,-81.48,57669.0,-61.04
64542.0,-88.41,59168.0,-59.22
66067.0,-82.46,60707.0,-64.75
67525.0,-82.11,62098.0,-63.63
68827.0,-77.49,63716.0,-62.16
70433.0,-82.53,65201.0,-56.0
72018.0,-84.21,66599.0,-53.69
73488.0,-81.55,68057.0,-53.97
75048.0,-78.96,69487.0,-57.89
76513.0,-81.34,70996.0,-55.16
78042.0,-81.13,72675.0,-58.31
79676.0,-76.3,74067.0,-56.0
81162.0,-78.96,75618.0,-57.33
82686.0,-82.74,77045.0,-56.14
84257.0,-88.13,78651.0,-56.14
85853.0,-80.85,80246.0,-54.11
87353.0,-84.98,81835.0,-55.86
88804.0,-81.41,83257.0,-56.98
90204.0,-86.8,84822.0,-56.14
91730.0,-94.99,86400.0,-58.31
93207.0,-89.6,87961.0,-57.75
94856.0,-87.57,89310.0,-54.46
,,90745.0,-55.72
,,92296.0,-55.93
,,93841.0,-56.91
,,95467.0,-55.23
