TO time,TO value,IC time,IC value
5467.0,-101.15,3990.0,-103.18
6847.0,-101.15,5475.0,-105.28
9919.0,-101.99,6855.0,-108.57
11373.0,-101.5,9927.0,-104.51
12907.0,-100.1,11381.0,-103.67
14465.0,-101.08,12915.0,-101.78
15973.0,-101.71,14473.0,-102.34
17514.0,-101.92,15981.0,-102.2
23784.0,-102.62,17522.0,-104.65
25361.0,-104.02,23792.0,-106.47
25456.0,-101.08,25368.0,-108.5
26924.0,-103.46,26836.0,-101.43
29795.0,-103.11,28311.0,-105.84
32825.0,-102.9,29803.0,-106.33
34324.0,-102.06,32833.0,-105.56
37413.0,-100.8,34332.0,-104.37
38957.0,-102.27,37421.0,-103.88
40407.0,-104.51,38965.0,-105.7
43440.0,-101.5,40415.0,-109.06
44894.0,-100.45,43448.0,-102.2
47911.0,-101.08,44902.0,-104.44
49415.0,-100.45,47919.0,-102.83
50941.0,-100.73,49423.0,-103.6
54040.0,-100.66,50948.0,-102.69
55485.0,-103.95,54048.0,-104.72
56961.0,-101.5,55493.0,-107.17
58444.0,-100.87,56969.0,-104.02
59972.0,-101.64,58452.0,-104.3
61440.0,-102.97,59980.0,-104.02
62947.0,-104.37,61448.0,-106.26
65988.0,-102.2,62955.0,-108.71
68859.0,-101.01,65996.0,-104.72
68955.0,-101.22,68867.0,-108.36
73408.0,-100.17,70377.0,-101.08
74952.0,-101.92,73416.0,-103.39
79588.0,-102.97,74960.0,-103.88
81059.0,-100.73,79596.0,-105.56
82598.0,-102.06,81067.0,-106.05
84162.0,-100.8,82606.0,-106.12
85757.0,-101.64,84170.0,-104.3
87250.0,-106.19,85765.0,-106.61
88693.0,-102.41,87274.0,-102.27
90092.0,-101.64,88701.0,-110.88
90180.0,-105.7,90099.0,-107.52
93137.0,-101.92,91682.0,-100.94
