TO time,TO value,IC time,IC value
5517.0,-92.33,4652.0,-44.17
6883.0,-91.98,6002.0,-51.31
8230.0,-88.76,7358.0,-47.18
9637.0,-85.4,8767.0,-51.31
10977.0,-78.33,10143.0,-54.11
12336.0,-86.94,11499.0,-52.64
13761.0,-86.03,12874.0,-57.82
15095.0,-88.69,14285.0,-57.68
16538.0,-83.65,15635.0,-54.88
17704.0,-80.29,16950.0,-59.15
18850.0,-59.92,18128.0,-70.84
20024.0,-103.74,19300.0,-80.64
21175.0,-99.33,20452.0,-77.49
22323.0,-96.6,21608.0,-84.42
23433.0,-100.1,22726.0,-87.71
24559.0,-93.38,23861.0,-85.75
25677.0,-98.7,24971.0,-80.99
26832.0,-98.77,26118.0,-83.3
27983.0,-83.79,27244.0,-73.43
29005.0,-92.26,28363.0,-76.86
29988.0,-102.97,29384.0,-89.11
30982.0,-102.34,30387.0,-104.79
31965.0,-102.06,31378.0,-99.82
32948.0,-101.43,32370.0,-116.97
33938.0,-115.29,33329.0,-100.03
34905.0,-95.13,34326.0,-96.74
35875.0,-116.13,35282.0,-90.79
36854.0,-111.93,36262.0,-106.68
37827.0,-94.85,37234.0,-115.36
38784.0,-114.38,38207.0,-119.35
39735.0,-98.28,39163.0,-115.85
40677.0,-107.1,40107.0,-121.38
41731.0,-121.38,41074.0,-102.55
42844.0,-118.44,42175.0,-96.39
43986.0,-104.44,43279.0,-90.72
45129.0,-101.85,44406.0,-82.11
46256.0,-95.83,45557.0,-79.17
47398.0,-102.13,46682.0,-73.15
48541.0,-96.32,47815.0,-79.17
49648.0,-98.28,48954.0,-77.7
50800.0,-103.88,50078.0,-78.05
53831.0,-93.66,52149.0,-72.59
55286.0,-80.08,52878.0,-63.7
56788.0,-79.73,54362.0,-62.72
58243.0,-59.85,55809.0,-58.52
59660.0,-72.73,57324.0,-57.54
61134.0,-79.17,58757.0,-61.25
62691.0,-83.51,60197.0,-52.85
,,61680.0,-54.81
