TO time,TO value,IC time,IC value
5493.0,-112.56,5406.0,-101.36
8127.0,-103.6,6788.0,-101.85
9518.0,-101.36,8135.0,-109.06
9613.0,-102.83,9526.0,-108.78
12232.0,-104.58,10873.0,-103.6
13642.0,-106.61,12240.0,-110.88
13737.0,-101.22,13650.0,-114.45
16443.0,-101.36,15024.0,-102.76
16974.0,-100.17,16451.0,-112.56
17099.0,-101.64,16982.0,-106.54
18724.0,-107.38,18254.0,-109.48
19903.0,-104.51,19425.0,-106.54
20586.0,-100.03,20467.0,-109.55
22196.0,-105.35,21726.0,-102.76
22861.0,-101.01,22742.0,-105.7
24440.0,-124.95,23963.0,-110.95
25558.0,-101.29,25097.0,-100.24
27268.0,-106.54,26745.0,-106.89
27370.0,-103.04,27276.0,-111.3
28505.0,-114.1,28379.0,-118.72
29479.0,-107.38,29392.0,-111.58
30482.0,-102.9,30387.0,-104.79
31473.0,-107.45,31386.0,-122.92
32464.0,-114.73,32370.0,-116.97
33415.0,-107.45,33329.0,-100.03
34420.0,-110.04,34334.0,-114.38
35384.0,-105.28,35290.0,-109.13
36356.0,-107.73,36262.0,-106.68
37328.0,-104.3,37234.0,-115.36
38301.0,-101.64,38207.0,-119.35
39250.0,-110.39,39163.0,-115.85
40202.0,-109.69,40107.0,-121.38
41169.0,-103.32,41074.0,-102.55
42725.0,-100.87,42286.0,-103.11
43875.0,-102.62,43397.0,-100.03
45105.0,-146.79,45019.0,-100.94
46137.0,-101.64,45573.0,-105.56
47366.0,-144.2,47279.0,-101.08
48414.0,-100.38,47839.0,-100.66
49536.0,-101.92,49073.0,-100.45
52189.0,-100.66,50720.0,-104.44
52284.0,-111.23,52197.0,-107.45
55183.0,-103.18,53752.0,-100.03
56699.0,-102.2,55191.0,-108.08
58140.0,-103.67,56707.0,-103.95
59549.0,-102.83,58148.0,-107.73
61031.0,-101.71,59557.0,-107.24
,,61039.0,-106.05
