TO,IC
5892,5334
6786,6254
7637,7126
8541,8022
9420,8903
10309,9791
11187,10663
12074,11548
12956,12430
13851,13311
14743,14219
15593,15087
16479,15938
17325,16806
18213,17684
19100,18557
19991,19430
20868,20321
21728,21202
22568,22068
23478,22911
24336,23802
25159,24645
26042,25501
26937,26372
27770,27235
28667,28116
29555,28989
30452,29879
31309,30759
32207,31633
33075,32517
33908,33382
34838,34255
35716,35143
36558,36025
37488,36900
38374,37789
39222,38658
40104,39523
40984,40411
41893,41297
42818,42224
