TO,IC
4640,3808
5976,5122
7330,6531
8690,7885
10053,9244
11380,10572
12723,11880
14063,13255
15466,14649
16814,16036
18219,17416
19399,18733
20476,19906
21578,20919
22697,22045
23721,23112
24840,24172
25882,25251
26972,26315
28002,27406
28930,28357
29817,29244
30696,30123
31599,31003
32485,31897
33379,32800
34245,33677
35116,34551
36022,35440
36873,36315
37733,37156
38573,38029
39579,38915
40580,39922
41614,40945
42639,42215
43631,42969
44653,43999
45672,45017
46954,46067
48287,47429
49761,48898
51308,50268
52561,51728
53997,53154
55482,54594
