TO,IC
3366,2707
4519,3865
5688,5045
6846,6205
7982,7347
9131,8507
10262,9637
11388,10771
12507,11880
13600,12990
14732,14114
15878,15255
17005,16377
18113,17496
19220,18606
20307,19704
21412,20783
22513,21902
23648,23029
24798,24156
25920,25314
27014,26412
28149,27540
29274,28647
30434,29798
31554,30943
32662,32052
33765,33163
34878,34259
35999,35379
37150,36508
38248,37652
39353,38756
40476,39864
41584,40967
42701,42083
43829,43203
44978,44345
46132,45505
47273,46638
48405,47788
49505,48896
50604,49987
51722,51095
52863,52220
54002,53377
55113,54508
56238,55610
57419,56737
,57950
