TO,IC
3731,2984
5044,4288
6361,5625
7677,6904
8966,8220
10292,9547
11596,10826
12892,12146
14083,13424
15223,14584
16346,15719
17443,16819
18543,17901
19659,19032
20764,20139
21851,21243
22947,22341
24026,23421
25062,24511
26013,25517
26935,26439
27862,27372
28820,28305
29756,29257
30684,30195
31633,31123
32588,32064
33530,33028
34480,33977
35439,34928
36479,35886
37628,36975
38743,38109
39867,39231
41020,40355
42178,41523
43417,42701
44711,43967
46011,45263
47325,46570
48660,47915
49986,49225
51348,50545
52675,51914
54113,53282
,54724
