TO,IC
4264,2079
5386,3277
6561,4637
7689,5592
8824,6956
9981,8099
11036,9226
12101,10342
13158,12480
14253,13576
15295,14647
16397,15673
17499,16822
18592,17910
19729,19003
20786,19872
21894,21219
24086,22313
25181,23392
27373,24513
28467,25577
32457,26679
35718,27798
38222,28877
43226,29934
43659,31001
44742,32091
45367,33219
46519,34290
46878,35369
47937,36462
48694,37549
49021,38624
49795,39687
50929,40773
51256,41873
52356,42982
53484,44061
54076,45147
54559,46205
,47286
,48338
,49438
,50556
,51658
,52751
,53850
