TO,IC
1878.0,1315.0
2903.0,2387.0
3822.0,3343.0
4742.0,4246.0
5644.0,5167.0
6521.0,6043.0
7417.0,6938.0
8337.0,7841.0
9242.0,8753.0
10133.0,9660.0
11043.0,10559.0
11947.0,11461.0
12847.0,12365.0
13750.0,13270.0
14670.0,14184.0
15579.0,15088.0
16491.0,16019.0
17401.0,16915.0
18330.0,17832.0
19251.0,18764.0
20160.0,19683.0
21087.0,20584.0
22047.0,21526.0
22994.0,22479.0
23951.0,23433.0
24887.0,24383.0
25834.0,25317.0
26775.0,26264.0
27704.0,27208.0
28629.0,28127.0
29545.0,29051.0
30505.0,29980.0
31456.0,30930.0
32422.0,31888.0
33367.0,32848.0
34326.0,33793.0
35296.0,34757.0
36269.0,35732.0
37246.0,36705.0
38296.0,37713.0
