TO,IC
2961,2095
4248,3468
5378,4693
6513,5822
7665,6964
8808,8210
9917,9242
11012,10382
12078,11447
13150,12504
14237,13584
15271,14655
16365,15705
17491,16830
18584,17925
19673,19027
20779,20119
21886,21227
22982,22329
24078,23400
25165,24521
26245,25593
27365,26695
28459,27814
29531,28885
30598,29950
31671,31009
32785,32080
33880,33235
34957,34306
36028,35373
37115,36470
38198,37557
39278,38640
40347,39702
41433,40789
42541,41881
43651,42990
44727,44068
45797,45155
46870,46213
47929,47294
48997,48346
50139,49454
51248,50572
52341,51666
53421,52767
54543,53882
55744,54979
