TO,IC
3742,2918
4900,4216
6010,5350
7143,6452
8246,7578
9335,8681
10412,9737
11487,10844
12533,11936
13518,12942
14516,13951
15494,14926
16474,15912
17453,16886
18435,17877
19403,18838
20387,19808
21307,20795
22190,21682
23084,22573
23955,23451
24819,24318
25697,25183
26577,26076
27471,26953
28374,27849
29338,28755
30307,29742
31281,30707
32264,31691
33269,32673
34259,33678
35277,34680
36278,35687
37281,36721
38339,37692
39419,38756
40459,39834
41541,40891
42617,41963
43660,43030
44726,44065
45810,45131
