TO,IC
1623.0,1038.0
2584.0,2050.0
3547.0,3019.0
4701.0,3971.0
5473.0,4939.0
6430.0,5896.0
7508.0,6863.0
8362.0,7816.0
9369.0,8787.0
10294.0,9765.0
11288.0,10745.0
12261.0,11738.0
13214.0,12695.0
14168.0,13647.0
15124.0,14589.0
16064.0,15534.0
17010.0,16475.0
17963.0,17446.0
18915.0,18388.0
19876.0,19333.0
20993.0,20302.0
21798.0,21269.0
22751.0,22232.0
23736.0,23185.0
24675.0,24148.0
25637.0,25094.0
26590.0,26071.0
27543.0,27016.0
28499.0,27972.0
29456.0,28929.0
29756.0,29890.0
30410.0,30838.0
31359.0,31773.0
31900.0,32738.0
32549.0,33715.0
32840.0,34668.0
33265.0,35646.0
34241.0,36611.0
35204.0,37578.0
36176.0,38537.0
37143.0,39492.0
38114.0,40476.0
39066.0,41601.0
40020.0,
41095.0,
41859.0,
42635.0,
44146.0,
