TO,IC
1521,798
2637,2025
3793,3141
4832,4235
5908,5320
6960,6373
7968,7403
9009,8419
10055,9466
11084,10505
12133,11550
13161,12570
14382,13627
15267,14683
16327,15738
17370,16783
18394,17844
19408,18843
20535,19867
21505,20922
22543,21947
23579,22979
24614,24030
25676,25071
26696,26105
27734,27138
28775,28184
29808,29226
30854,30257
31892,31311
32912,32348
33912,33369
34957,34378
35994,35407
37076,36461
38102,37506
39167,38558
40212,39605
41279,40673
42344,41744
43407,42806
44457,43854
45526,44898
46565,45960
47625,47029
48694,48090
49788,49161
51257,50319
