TO,IC
855.0,1034.0
1236.0,1628.0
2033.0,2556.0
3259.0,3834.0
3928.0,5080.0
4549.0,6364.0
5797.0,7640.0
6752.0,8896.0
7121.0,10107.0
8105.0,11327.0
8485.0,12572.0
9169.0,13807.0
9602.0,14958.0
10811.0,16282.0
12042.0,17476.0
13285.0,18680.0
14512.0,19897.0
15742.0,21106.0
16972.0,22303.0
18159.0,23470.0
19014.0,24680.0
19400.0,25865.0
20594.0,27065.0
21797.0,28295.0
22971.0,29470.0
23759.0,30652.0
24152.0,31839.0
25365.0,33056.0
26560.0,34242.0
27026.0,35439.0
27786.0,36650.0
28047.0,37899.0
28458.0,39116.0
28953.0,40319.0
30169.0,41533.0
31334.0,42737.0
32537.0,43966.0
33297.0,45175.0
33728.0,46362.0
34909.0,47546.0
36091.0,48741.0
37371.0,49896.0
38278.0,51109.0
38594.0,52314.0
39823.0,53506.0
41017.0,54698.0
42222.0,55899.0
43445.0,57097.0
44648.0,58283.0
45355.0,59498.0
45858.0,60704.0
47034.0,61898.0
48213.0,63075.0
49391.0,64293.0
50575.0,
51531.0,
51799.0,
52190.0,
52553.0,
52999.0,
54197.0,
55394.0,
56233.0,
56579.0,
57786.0,
58978.0,
60181.0,
61424.0,
62570.0,
63865.0,
65092.0,
65783.0,
