TO,IC
1417,1969
2667,3188
3862,4379
5078,5590
6258,6717
7391,7857
8493,8984
9606,10112
10770,11261
11933,12438
13082,13545
14110,14580
15161,15615
16218,16676
17264,17737
18334,18792
19408,19872
20481,20948
21562,22018
22645,23107
23628,24059
24589,25037
25563,25986
26531,26957
27506,27948
28515,28958
29501,29937
30479,30922
31475,31913
32463,32912
33457,33882
34439,34930
35570,36009
36616,37073
37704,38186
38818,39287
39907,40380
41001,41485
42100,42567
43204,43677
44358,44855
45643,46195
47009,47561
48333,48878
49628,50143
50879,51421
52203,52795
