TO,IC
4908,4342
5757,5242
6635,6131
7503,6994
8386,7865
9270,8762
10195,9665
11076,10550
11970,11457
12891,12341
13770,13232
14668,14126
15554,15024
16455,15921
17326,16809
18200,17691
19028,18556
19861,19383
20732,20208
21594,21087
22435,21933
23280,22783
24161,23636
25049,24525
25928,25418
26816,26275
27767,27188
28606,28078
29467,28952
30384,29838
31251,30724
32154,31614
33020,32478
33904,33374
34779,34252
35619,35126
36524,35990
37409,36886
38283,37766
39202,38668
40122,39574
41072,40487
,41546
