TO,IC
4860,5350
6011,6470
7111,7556
8201,8675
9334,9791
10447,10896
11550,12015
12709,13157
13818,14283
14931,15356
16001,16462
17112,17530
18209,18645
19301,19757
20389,20847
21500,21919
22543,22985
23624,24054
24707,25118
25758,26175
26808,27241
27863,28289
28914,29348
30004,30455
31118,31552
32185,32610
33265,33731
34409,34836
35485,35935
36562,37010
37659,38085
38755,39174
39805,40231
40868,41313
41951,42385
43070,43487
44134,44596
45243,45626
46272,46720
47356,47774
48419,48837
49512,49930
50577,51003
51649,52099
52784,
