TO,IC
3234,2514
4302,3649
5322,4683
6429,5736
7464,6810
8587,7885
9626,8956
10652,10010
11678,11063
12744,12108
13816,13156
14827,14198
15852,15230
16869,16286
17964,17294
18977,18353
20006,19371
21061,20410
22085,21482
23144,22507
24163,23548
25225,24584
26249,25624
27288,26663
28334,27713
29376,28739
30434,29795
31521,30877
32516,31894
33544,32943
34568,33971
35630,34979
36636,36051
37704,37073
38778,38124
39815,39191
40851,40219
41871,41256
42905,42283
43945,43309
45011,44380
46092,45453
47142,46512
48204,47569
49230,48608
50279,49650
51311,50713
,51772
