TO,IC
5147,4254
6657,5801
8111,7276
9583,8697
11007,10194
12452,11552
13962,13014
15390,14490
16820,15935
18238,17465
19675,18857
21069,20204
22574,21673
23951,23097
25450,24557
26839,25999
28211,27392
29576,28778
30947,30090
32472,31724
33853,33059
35308,34434
36759,35934
38221,37394
39630,38744
41006,40161
42339,41491
43770,42885
45228,44342
46690,45816
48177,47363
49500,48684
50887,50072
52220,51435
53603,52738
55015,54167
56337,55538
57698,56873
59046,58223
60385,59562
61695,60842
63059,62219
64441,63633
65830,65048
67159,66345
68567,67740
69993,69145
71396,70572
72750,71904
74259,73418
75845,74905
