TO,IC
3102,2139
4737,3691
6242,5381
7802,6877
9095,8303
10555,9659
11972,11103
13399,12524
14829,13985
16177,15355
17547,16739
18848,18085
20255,19444
21547,20758
22948,22071
24316,23466
25677,24831
27062,26223
28526,27571
29828,29006
31106,30289
32429,31599
33751,32921
35060,34292
36462,35607
37788,36963
39191,38339
40564,39748
41974,41112
43406,42535
44787,43906
46150,45374
47590,46705
48907,48091
50255,49463
51661,50793
53009,52171
54399,53589
55791,54965
57089,56307
58469,57638
59806,59007
61146,60324
62461,61670
63876,63009
65336,64402
66584,65743
67898,67100
69195,68378
70551,69752
71987,71123
73372,72461
74065,
