TO,IC
4640,3808
5976,5122
7330,6531
8690,7885
10053,9244
11380,10572
12723,11880
14063,13255
15466,14649
16814,16036
18219,17416
19399,18733
20476,19906
21578,20919
22697,22045
23721,23112
24840,24172
25882,25251
26972,26315
28002,27406
28930,28357
29817,29244
30696,30123
31599,31003
32485,31897
33379,32800
33669,33677
34245,34551
35116,35440
36022,36315
36873,37156
37733,38029
38573,38915
39579,39922
40580,40945
41614,42215
42639,42969
43631,43999
44653,45017
45672,46067
46954,47429
48287,48898
49761,50268
51308,51728
52561,53154
53997,54594
55482,
