TO,IC
4027,3135
5460,4606
6947,6095
8285,7493
9644,8783
11043,10221
12478,11635
13873,13034
15324,14494
16715,15883
17888,17203
19023,18359
20159,19484
21277,20592
22372,21704
23472,22796
24566,23903
25662,25002
26774,26112
27874,27213
28770,28237
29649,29149
30529,30027
31416,30899
32258,31771
33163,32629
34075,33520
35084,34507
36117,35500
37183,36559
38300,37642
39352,38698
40396,39780
41452,40800
42510,41857
43507,42892
44611,43951
45701,45033
46768,46129
48004,47221
49431,48568
50794,49931
52126,51295
53510,52644
54772,54009
56208,55365
57592,56754
59006,58161
