TO,IC
2603.0,1952.0
3668.0,3070.0
4751.0,4151.0
5849.0,5234.0
6947.0,6339.0
8003.0,7414.0
9067.0,8478.0
10117.0,9527.0
11189.0,10592.0
12255.0,11665.0
13313.0,12724.0
14401.0,13787.0
15467.0,14876.0
16525.0,15937.0
17581.0,16991.0
18646.0,18041.0
19725.0,19119.0
20789.0,20192.0
21854.0,21264.0
22920.0,22321.0
23979.0,23386.0
25042.0,24451.0
26099.0,25509.0
27169.0,26572.0
28220.0,27620.0
29257.0,28671.0
30314.0,29725.0
31373.0,30789.0
32442.0,31839.0
33500.0,32910.0
34571.0,33959.0
35640.0,35032.0
36714.0,36123.0
37793.0,37194.0
38864.0,38260.0
39919.0,39329.0
41006.0,40393.0
42130.0,41488.0
,42619.0
