TO,IC
1973,1453
2944,2453
3914,3404
4875,4370
5845,5355
6815,6308
7796,7294
8736,8245
9699,9193
10670,10163
11630,11125
12587,12086
13536,13038
14506,13992
15468,14962
16417,15924
17361,16868
18307,17815
19263,18764
20192,19695
21124,20633
22042,21557
22974,22491
23898,23408
24821,24330
25760,25261
26697,26191
27642,27143
28572,28091
29509,29018
30447,29964
31388,30899
32357,31852
33302,32821
34256,33751
35189,34688
36103,35611
37035,36537
37958,37467
38909,38381
39807,39302
40743,40252
41694,41197
42661,42150
43653,43109
