TO,IC
3041,2444
4114,3545
5181,4611
6316,5733
7441,6852
8547,7962
9627,9034
10724,10138
11826,11243
12946,12354
14059,13460
15120,14563
16234,15626
17345,16740
18441,17841
19507,18930
20568,20006
21629,21055
22724,22134
23825,23248
24884,24328
25941,25373
27012,26444
28088,27506
29160,28599
30216,29631
31290,30726
32344,31775
33404,32838
34473,33906
35535,34990
36598,36041
37649,37084
38745,38161
39839,39264
40864,40307
41923,41346
42967,42401
44006,43457
45029,44489
46087,45519
47118,46558
48193,47609
49233,48688
50305,49746
51382,50823
52467,51900
53638,53008
,54217
