TO,IC
3156,2446
4424,3753
5679,5024
6907,6237
8183,7474
9488,8772
10730,10053
11977,11265
13259,12551
14565,13864
15851,15140
17095,16419
18371,17656
19624,18947
20877,20199
22142,21446
23338,22661
24597,23928
25892,25187
27110,26434
28349,27678
29578,28900
30823,30137
32116,31400
33382,32693
34580,33931
35799,35139
37037,36375
38413,37603
39588,38857
42116,40145
43379,40853
44600,41433
45848,42690
47105,43914
48373,45166
49641,46442
50850,47695
52053,48940
53215,50171
54435,51406
55617,52600
56799,53780
57968,54985
59112,56150
60260,57341
61408,58496
62561,59639
63721,60795
64860,61929
66058,63087
67233,64231
68401,65420
,66586
,67772
