TO,IC
3949,3141
5316,4532
6652,5917
7928,7211
9262,8525
10496,9821
11790,11084
13089,12365
14371,13640
15649,14940
16922,16217
18022,17435
19103,18537
20159,19589
21210,20639
22266,21704
23299,22746
24305,23759
25318,24777
26347,25795
27375,26813
28378,27836
29391,28846
30410,29857
31453,30875
32376,31886
33308,32824
34248,33750
35168,34688
36077,35595
37012,36518
37968,37476
38892,38409
39822,39342
40772,40263
41729,41221
42841,42286
43980,43332
45123,44500
46231,45636
47352,46732
48441,47834
49571,48953
50722,50067
51995,51252
53316,52562
54622,53843
55915,55158
57250,56458
58572,57780
59909,59134
61252,60489
62622,61823
