TO,IC
1102.0,1401.0
2144.0,2514.0
3032.0,3481.0
4043.0,4436.0
4949.0,5405.0
5927.0,6369.0
6885.0,7334.0
7850.0,8293.0
8809.0,9254.0
10695.0,10193.0
11666.0,11136.0
12649.0,12120.0
13664.0,13103.0
14589.0,14062.0
15547.0,15025.0
16520.0,15986.0
17510.0,16983.0
18483.0,17954.0
19428.0,18915.0
20378.0,19853.0
21362.0,20830.0
22315.0,21783.0
23250.0,22743.0
24191.0,23685.0
25141.0,24617.0
26093.0,25575.0
27053.0,26535.0
28005.0,27489.0
28967.0,28465.0
29904.0,29403.0
30867.0,30347.0
31813.0,31294.0
32771.0,32255.0
33725.0,33207.0
34665.0,34155.0
35599.0,35100.0
36566.0,36027.0
37540.0,37010.0
38514.0,37984.0
39540.0,38954.0
40520.0,39965.0
,41025.0
