TO,IC
2101.0,2606.0
3264.0,3767.0
4144.0,4911.0
4407.0,6004.0
5506.0,7112.0
6616.0,8226.0
7746.0,9332.0
8845.0,10424.0
9959.0,11554.0
11059.0,12668.0
12173.0,13742.0
13270.0,14828.0
14362.0,15915.0
15432.0,16990.0
16523.0,18075.0
17599.0,19170.0
18681.0,20293.0
19454.0,21384.0
19794.0,22462.0
20513.0,23579.0
20909.0,24670.0
21990.0,25798.0
23084.0,26884.0
24189.0,27988.0
25291.0,29088.0
26419.0,30155.0
27215.0,31250.0
27498.0,32348.0
28607.0,33447.0
29689.0,34556.0
30772.0,35655.0
31868.0,36759.0
32951.0,37852.0
34075.0,38948.0
35198.0,40044.0
36276.0,41144.0
37377.0,42215.0
38458.0,43294.0
39570.0,44381.0
40655.0,45446.0
41733.0,46549.0
42816.0,47636.0
43645.0,48726.0
43899.0,49817.0
44676.0,50923.0
44977.0,52070.0
46049.0,53247.0
47153.0,
48241.0,
49335.0,
49627.0,
50457.0,
51284.0,
51542.0,
52713.0,
54579.0,
55648.0,
