TO,IC
2978.0,2213.0
4291.0,3561.0
5045.0,4834.0
5561.0,6119.0
6654.0,7448.0
6904.0,8746.0
8194.0,10078.0
9524.0,11395.0
10817.0,12692.0
12136.0,13989.0
12543.0,14689.0
13438.0,15279.0
14735.0,16611.0
15586.0,17925.0
16042.0,19232.0
16478.0,20535.0
17372.0,21873.0
18687.0,23267.0
19986.0,24610.0
21143.0,25992.0
22670.0,27382.0
24035.0,28783.0
25380.0,30162.0
26799.0,31471.0
28205.0,32752.0
29563.0,34057.0
30911.0,35371.0
32199.0,36645.0
33466.0,37933.0
34508.0,39220.0
34802.0,40541.0
36083.0,41870.0
37392.0,43154.0
38651.0,44411.0
39977.0,45721.0
41301.0,47014.0
42603.0,48333.0
43946.0,49631.0
45160.0,50936.0
46454.0,52253.0
47770.0,53515.0
49079.0,54769.0
50368.0,56111.0
51699.0,57437.0
52978.0,58791.0
54217.0,60127.0
55534.0,61454.0
56869.0,62792.0
58222.0,64115.0
59569.0,65424.0
60869.0,66685.0
62242.0,67962.0
63160.0,69295.0
63561.0,70617.0
64581.0,71942.0
66140.0,73351.0
67385.0,
68719.0,
69539.0,
70052.0,
71364.0,
72743.0,
74100.0,
76666.0,
