TO,IC
1204.0,1785.0
2549.0,3100.0
3869.0,4396.0
5095.0,5648.0
6329.0,6881.0
7486.0,7935.0
8498.0,8977.0
9532.0,10013.0
10578.0,11043.0
11590.0,12063.0
12620.0,13046.0
13508.0,13920.0
14400.0,14836.0
15315.0,15742.0
16225.0,16661.0
17154.0,17574.0
18071.0,18498.0
18992.0,19418.0
19920.0,20332.0
20873.0,21235.0
21823.0,22304.0
22900.0,23366.0
24040.0,24446.0
25056.0,25522.0
26110.0,26577.0
27148.0,27613.0
28224.0,28697.0
29323.0,29795.0
30408.0,30888.0
31502.0,31977.0
32642.0,33187.0
33862.0,34343.0
35057.0,35553.0
36259.0,36774.0
37427.0,37945.0
38654.0,39192.0
39890.0,40411.0
41095.0,41665.0
42403.0,42933.0
43626.0,44149.0
44865.0,45401.0
46100.0,46622.0
47320.0,47855.0
48543.0,49071.0
49778.0,50298.0
51028.0,51548.0
