TO,IC
3314.0,2681.0
4340.0,3756.0
5352.0,4779.0
6344.0,5785.0
7348.0,6768.0
8328.0,7782.0
9357.0,8771.0
10340.0,9776.0
11308.0,10763.0
12301.0,11740.0
13294.0,12729.0
14253.0,13712.0
15236.0,14680.0
16232.0,15670.0
17236.0,16672.0
18229.0,17666.0
19241.0,18671.0
20232.0,19676.0
21258.0,20672.0
22258.0,21685.0
23277.0,22691.0
24302.0,23710.0
25344.0,24743.0
26382.0,25778.0
27392.0,26814.0
28411.0,27833.0
29409.0,28852.0
30423.0,29852.0
31422.0,30849.0
32413.0,31853.0
33427.0,32855.0
34446.0,33869.0
35458.0,34887.0
36495.0,35898.0
37518.0,36923.0
38574.0,37961.0
39205.0,
