TO,IC
2970.0,2246.0
4162.0,3467.0
5279.0,4625.0
6391.0,5741.0
7507.0,6865.0
8628.0,7973.0
9735.0,9087.0
10845.0,10203.0
11960.0,11304.0
13063.0,12429.0
14172.0,13527.0
15268.0,14630.0
16380.0,15732.0
17487.0,16836.0
18577.0,17945.0
19427.0,19049.0
19688.0,20142.0
20797.0,21255.0
21896.0,22347.0
23011.0,23475.0
24110.0,24568.0
25229.0,25703.0
26399.0,26857.0
27245.0,27988.0
27515.0,29112.0
28647.0,30264.0
29783.0,31389.0
30921.0,32487.0
32030.0,33585.0
33127.0,34680.0
33932.0,35764.0
34210.0,36861.0
35307.0,37960.0
36397.0,39076.0
37494.0,40195.0
38595.0,41303.0
39731.0,42415.0
40838.0,43513.0
41951.0,44619.0
43056.0,45732.0
44154.0,46874.0
45260.0,48043.0
46387.0,
47530.0,
48796.0,
49239.0,
