TO,IC
5811.0,3057.0
7443.0,4801.0
8623.0,6457.0
9002.0,8026.0
10479.0,9561.0
11939.0,11037.0
13305.0,12450.0
14746.0,13871.0
16141.0,15296.0
17524.0,16675.0
18591.0,18082.0
18998.0,19548.0
20374.0,20900.0
21749.0,22260.0
23067.0,23581.0
24362.0,24876.0
25703.0,26216.0
27004.0,27531.0
28326.0,28860.0
29650.0,30227.0
31047.0,31559.0
32363.0,32866.0
33392.0,34196.0
33677.0,35489.0
34985.0,36809.0
35979.0,38094.0
36304.0,39373.0
37590.0,40660.0
38868.0,41930.0
40129.0,43275.0
41434.0,44546.0
42740.0,45851.0
44060.0,47129.0
45347.0,48427.0
46611.0,49742.0
47931.0,51060.0
49207.0,52348.0
50255.0,53614.0
50531.0,54858.0
51576.0,56097.0
51845.0,57364.0
52870.0,58633.0
53138.0,59898.0
54378.0,61125.0
55599.0,62404.0
56867.0,63720.0
58141.0,64991.0
59419.0,66273.0
60615.0,67539.0
61900.0,68851.0
63199.0,70158.0
64489.0,71536.0
65779.0,72970.0
67042.0,
68317.0,
69305.0,
69630.0,
71002.0,
72385.0,
73715.0,
