TO,IC
3820.0,1293.0
5189.0,3025.0
6189.0,4385.0
6474.0,5702.0
7739.0,6985.0
8991.0,8242.0
10001.0,9423.0
11045.0,10450.0
12093.0,11471.0
13151.0,12519.0
14236.0,13594.0
15310.0,14677.0
16377.0,15742.0
17440.0,16814.0
18486.0,17881.0
19549.0,18929.0
20622.0,19989.0
21665.0,21070.0
22645.0,22083.0
23550.0,23017.0
24502.0,23946.0
25431.0,24873.0
26383.0,25828.0
27359.0,26810.0
28312.0,27762.0
29312.0,28746.0
30273.0,29730.0
31273.0,30700.0
32323.0,31713.0
33404.0,32772.0
34478.0,33844.0
35567.0,34942.0
36663.0,36016.0
37779.0,37119.0
38584.0,38206.0
38862.0,39319.0
40023.0,40510.0
41274.0,41746.0
42486.0,42949.0
43683.0,44171.0
44912.0,45392.0
46155.0,46650.0
47433.0,
48017.0,
