TO,IC
2879.0,628.0
3620.0,1411.0
4359.0,2303.0
5140.0,2871.0
5913.0,3384.0
6625.0,3974.0
7397.0,4556.0
8121.0,5116.0
8836.0,5623.0
9555.0,6215.0
10227.0,6736.0
10985.0,7358.0
11682.0,7895.0
12381.0,8428.0
13088.0,8971.0
13791.0,9491.0
14467.0,9997.0
15123.0,10592.0
15793.0,11112.0
16523.0,11666.0
17217.0,12170.0
17890.0,12675.0
18522.0,13184.0
19832.0,13752.0
20503.0,14386.0
21165.0,14933.0
22531.0,15502.0
23216.0,16126.0
23856.0,16815.0
24536.0,17543.0
25258.0,18159.0
25937.0,18886.0
26624.0,19543.0
27301.0,20202.0
28020.0,20811.0
28745.0,21323.0
29394.0,21857.0
,22871.0
,23473.0
,24054.0
,24655.0
,25203.0
,25805.0
,26316.0
,26885.0
,27569.0
,28360.0
,29006.0
,29636.0
,30195.0
