TO,IC
2244,1650
3262,2696
4268,3713
5247,4711
6244,5691
7262,6702
8311,7720
9372,8747
10338,9761
11379,10796
12366,11806
13401,12825
14437,13845
15469,14870
16498,15890
17517,16926
18586,17954
19624,18967
20584,19987
21642,21010
22609,22015
23633,23047
24653,24061
25666,25063
26709,26085
27720,27121
28739,28147
29757,29167
30786,30185
31797,31206
32819,32236
33828,33254
34854,34254
35866,35281
36889,36296
37920,37328
38954,38353
39989,39369
41010,40419
42034,41441
43014,42458
44071,43463
45107,44499
46147,45534
47182,46591
48239,47625
49314,48683
