TO,IC
2080.0,1434.0
4276.0,2683.0
5340.0,3708.0
6406.0,4782.0
7465.0,5847.0
8503.0,6898.0
9527.0,7939.0
10584.0,8977.0
12689.0,10011.0
13736.0,11052.0
14768.0,12187.0
15829.0,13172.0
16830.0,14219.0
17878.0,15258.0
18906.0,16298.0
19930.0,17336.0
20961.0,18342.0
23025.0,19389.0
24015.0,20396.0
26115.0,21434.0
27135.0,22471.0
28174.0,23479.0
29218.0,24508.0
31301.0,25558.0
34414.0,26576.0
36448.0,27613.0
37490.0,28654.0
38534.0,29713.0
39561.0,30653.0
40571.0,31682.0
41572.0,32795.0
42588.0,33845.0
43597.0,34875.0
44591.0,35764.0
45584.0,36932.0
46603.0,37959.0
47606.0,38852.0
49633.0,40028.0
51694.0,41114.0
52750.0,42050.0
53854.0,43055.0
,44070.0
,45073.0
,46060.0
,47062.0
,48082.0
,49093.0
,50101.0
,51137.0
,52179.0
,53249.0
,54408.0
